#Arquivo Dados/ColetaChamadaReal60.txt 
#Parâmetros(Ocupação: 60.00%, Capacidade: 588000.000 bps)
#Coleta|Ocupação|E(n)|E(w)|lambda|Little

100 0.00000 0.00000 -nan 0.00000 -nan
22400 10.28696 25.91930 815.43863 0.03179 -0.00000000000001776357
22500 10.31371 25.86215 811.57369 0.03187 -0.00000000000001776357
22600 10.32763 25.82274 810.54697 0.03186 -0.00000000000002131628
22700 10.32428 25.78333 812.89100 0.03172 -0.00000000000004263256
22800 10.36036 25.74192 812.90265 0.03167 -0.00000000000004263256
22900 10.31511 25.71898 809.01725 0.03179 -0.00000000000002131628
23000 10.30396 25.71990 807.03654 0.03187 -0.00000000000005329071
23100 10.26940 25.63490 806.76578 0.03177 -0.00000000000000710543
23200 10.29984 25.53430 802.70442 0.03181 0.00000000000001421085
23300 10.26440 25.44568 800.11384 0.03180 -0.00000000000001065814
23400 10.26980 25.34976 796.22079 0.03184 0.00000000000003552714
23500 10.27985 25.25956 793.58232 0.03183 -0.00000000000005684342
23600 10.28220 25.16294 789.68809 0.03186 -0.00000000000008171241
23700 10.28490 25.07691 783.03400 0.03203 -0.00000000000004973799
23800 10.29127 25.01470 778.23498 0.03214 -0.00000000000003197442
23900 10.28992 24.97010 776.05390 0.03218 -0.00000000000008526513
24000 10.28841 24.92889 777.00424 0.03208 -0.00000000000005684342
24100 10.28155 24.88306 776.78995 0.03203 -0.00000000000008881784
24200 10.32235 24.84484 773.80329 0.03211 -0.00000000000009237056
24300 10.27987 24.81824 775.17109 0.03202 -0.00000000000009237056
24400 10.28339 24.78974 775.47384 0.03197 -0.00000000000012434498
24500 10.29151 24.75984 773.74485 0.03200 -0.00000000000011013412
24600 10.34985 24.73509 773.16808 0.03199 -0.00000000000009592327
24700 10.30795 24.73230 770.35022 0.03211 -0.00000000000003907985
24800 10.32515 24.75581 766.47191 0.03230 0.00000000000002486900
24900 10.31421 24.79066 767.77031 0.03229 -0.00000000000010302870
25000 10.38589 24.82546 771.93594 0.03216 -0.00000000000004973799
25100 10.34451 24.85944 775.12029 0.03207 -0.00000000000006039613
25200 10.30346 24.90566 776.76072 0.03206 -0.00000000000008881784
25300 10.36968 24.94116 778.06568 0.03206 -0.00000000000001776357
25400 10.32886 24.97496 779.31683 0.03205 0.00000000000008881784
25500 10.31300 25.01905 778.03147 0.03216 0.00000000000006750156
25600 10.31748 25.06985 780.76425 0.03211 0.00000000000003552714
25700 10.34423 25.10620 783.99675 0.03202 0.00000000000000710543
25800 10.37931 25.14111 783.38228 0.03209 0.00000000000002842171
25900 10.33923 25.18150 785.78416 0.03205 -0.00000000000000355271
26000 10.32334 25.22908 788.40866 0.03200 0.00000000000000355271
26100 10.31488 25.20612 790.72085 0.03188 0.00000000000000710543
26200 10.32882 25.11384 788.00304 0.03187 0.00000000000006394885
26300 10.37414 25.02609 784.48890 0.03190 0.00000000000014566126
26400 10.33485 24.95327 782.38290 0.03189 0.00000000000015276669
26500 10.32525 24.88812 781.43986 0.03185 0.00000000000018118840
26600 10.36249 24.82834 777.89604 0.03192 0.00000000000020961011
26700 10.33326 24.78337 775.75129 0.03195 0.00000000000017408297
26800 10.34526 24.75509 770.54159 0.03213 0.00000000000010658141
26900 10.33406 24.72430 767.99491 0.03219 0.00000000000009947598
27000 10.34667 24.67987 765.04752 0.03226 0.00000000000009947598
27100 10.32475 24.62780 764.50554 0.03221 0.00000000000011013412
27200 10.32531 24.54424 760.36829 0.03228 0.00000000000015987212
27300 10.33435 24.46074 758.83875 0.03223 0.00000000000015987212
27400 10.29871 24.37298 758.02459 0.03215 0.00000000000010302870
27500 10.30190 24.28659 756.37733 0.03211 0.00000000000013500312
27600 10.30167 24.20575 753.18901 0.03214 0.00000000000009947598
27700 10.30635 24.13762 748.72582 0.03224 0.00000000000000710543
27800 10.32029 24.08487 748.11119 0.03219 0.00000000000010302870
27900 10.30569 24.03464 745.90262 0.03222 0.00000000000011368684
28000 10.31898 23.99103 743.90799 0.03225 0.00000000000013500312
28100 10.30090 23.95302 742.09479 0.03228 0.00000000000022737368
28200 10.30586 23.91440 741.89900 0.03223 0.00000000000032684966
28300 10.30303 23.88198 738.64496 0.03233 0.00000000000030198066
28400 10.32839 23.86035 736.55864 0.03239 0.00000000000034106051
28500 10.35187 23.85479 733.39981 0.03253 0.00000000000036237680
28600 10.31567 23.86301 733.85180 0.03252 0.00000000000034816594
28700 10.31723 23.88440 733.92119 0.03254 0.00000000000033040237
28800 10.34446 23.90112 734.63424 0.03253 0.00000000000027000624
28900 10.32689 23.91680 736.88210 0.03246 0.00000000000024513724
