# Arquivo Coleta1.txt 
#Coluna 1 > Ponto de coleta
#Coluna 2 > Ocupação
#Coluna 3 > E(n)
#Coluna 4 > E(w)
#Coluna 5 > lambda
#Coluna 6 > Erro de Little
31200 26502.09506 5.42402 2.71771 1.99580 0.00000000024431656698
31300 26588.49864 5.42017 2.71555 1.99597 0.00000000022557511414
31400 26686.75712 5.45832 2.73356 1.99678 0.00000000018711698857
31500 26758.37888 5.44865 2.72961 1.99613 0.00000000017219559112
31600 26842.23111 5.44101 2.72667 1.99547 0.00000000013134826560
31700 26934.87421 5.46125 2.73585 1.99618 0.00000000013354650719
31800 27018.89527 5.46254 2.73712 1.99572 0.00000000016232526434
31900 27107.43380 5.46145 2.73617 1.99602 0.00000000019445511867
32000 27194.29976 5.46892 2.74007 1.99591 0.00000000017435652921
32100 27280.30536 5.46401 2.73802 1.99561 0.00000000019515855598
32200 27370.31545 5.47496 2.74345 1.99565 0.00000000019075319102
32300 27455.78013 5.47131 2.74087 1.99619 0.00000000020902568565
32400 27537.45873 5.47315 2.74309 1.99525 0.00000000022003199263
32500 27624.29727 5.46551 2.73983 1.99483 0.00000000022019186474
32600 27702.13995 5.45715 2.73659 1.99414 0.00000000020142998380
32700 27783.16518 5.45057 2.73360 1.99391 0.00000000020003465551
32800 27879.43937 5.45580 2.73620 1.99393 0.00000000017682921793
32900 27960.71126 5.45112 2.73474 1.99328 0.00000000014378809254
33000 28038.01687 5.44457 2.73097 1.99364 0.00000000006069811320
33100 28117.27333 5.43633 2.72678 1.99369 -0.00000000000881072992
33200 28203.88143 5.43660 2.72701 1.99361 -0.00000000007813216740
33300 28279.76061 5.43361 2.72581 1.99339 -0.00000000012448531095
33400 28366.33386 5.43170 2.72397 1.99404 -0.00000000016672352388
33500 28444.35140 5.42472 2.72060 1.99394 -0.00000000019333690204
33600 28537.93221 5.43531 2.72577 1.99405 -0.00000000019814461183
33700 28621.72022 5.43398 2.72520 1.99398 -0.00000000019485568714
33800 28701.26020 5.43122 2.72347 1.99423 -0.00000000023288215800
33900 28800.22237 5.44869 2.73168 1.99463 -0.00000000019911805538
34000 28886.44988 5.45716 2.73485 1.99541 -0.00000000021133494954
34100 28985.77789 5.48936 2.75065 1.99566 -0.00000000021511858961
34200 29079.32952 5.50101 2.75635 1.99576 -0.00000000018158008430
34300 29150.76448 5.49208 2.75254 1.99528 -0.00000000024336266335
34400 29237.25074 5.49496 2.75481 1.99468 -0.00000000026834534594
34500 29328.73526 5.49275 2.75380 1.99461 -0.00000000022732837834
34600 29413.87105 5.48543 2.74991 1.99477 -0.00000000016535306457
34700 29511.73708 5.52591 2.76926 1.99545 -0.00000000014215917332
34800 29596.55937 5.52776 2.77037 1.99532 -0.00000000015413537113
34900 29683.14534 5.52652 2.76874 1.99605 -0.00000000013487166939
35000 29767.17824 5.52503 2.76797 1.99606 -0.00000000010207035217
35100 29859.21916 5.53915 2.77459 1.99638 -0.00000000005896438893
35200 29942.85649 5.53570 2.77301 1.99628 -0.00000000007602718455
35300 30020.14722 5.52901 2.76992 1.99609 -0.00000000013423484546
35400 30104.30754 5.52850 2.76949 1.99621 -0.00000000009079226260
35500 30189.65448 5.52206 2.76629 1.99620 -0.00000000007987210893
35600 30278.93607 5.52070 2.76594 1.99596 -0.00000000006722089552
35700 30353.82852 5.51280 2.76321 1.99507 -0.00000000009536815782
35800 30433.61166 5.50730 2.76055 1.99500 -0.00000000008215739200
35900 30533.76126 5.55696 2.78441 1.99574 -0.00000000007864286999
36000 30619.71095 5.55495 2.78420 1.99517 -0.00000000011647127707
36100 30697.40513 5.54711 2.78083 1.99476 -0.00000000003995914710
36200 30779.04535 5.54289 2.77897 1.99459 -0.00000000001748556855
36300 30860.49362 5.53657 2.77597 1.99446 0.00000000000676436684
36400 30951.29763 5.54819 2.78078 1.99519 -0.00000000001730793286
36500 31035.61545 5.54282 2.77815 1.99515 -0.00000000006437872457
36600 31125.69098 5.54225 2.77769 1.99527 -0.00000000003386091407
36700 31214.09104 5.54570 2.77879 1.99572 0.00000000000198330241
36800 31302.05113 5.55442 2.78281 1.99598 -0.00000000001662403548
36900 31386.24429 5.55519 2.78348 1.99577 -0.00000000009574563364
37000 31474.27962 5.55545 2.78329 1.99600 -0.00000000004408740040
37100 31558.49033 5.55102 2.78140 1.99577 -0.00000000001278710471
37200 31647.61856 5.56240 2.78682 1.99597 -0.00000000002740563332
37300 31724.70448 5.55322 2.78236 1.99587 -0.00000000002336264515
37400 31802.93884 5.54699 2.77974 1.99551 -0.00000000009797940237
37500 31901.54219 5.55485 2.78355 1.99560 -0.00000000004383515773
37600 31983.27135 5.54862 2.78119 1.99505 -0.00000000006073186398
37700 32076.69491 5.55656 2.78493 1.99523 -0.00000000005299582995
37800 32151.46422 5.55066 2.78251 1.99484 -0.00000000010053557986
37900 32231.16539 5.54619 2.78124 1.99414 -0.00000000008899991855
38000 32306.41489 5.53754 2.77743 1.99376 -0.00000000008568346033
38100 32388.40842 5.53854 2.77809 1.99365 -0.00000000012678036398
38200 32474.39662 5.54053 2.77951 1.99335 -0.00000000014821299743
38300 32559.71825 5.54361 2.78048 1.99376 -0.00000000013140155630
38400 32648.47357 5.57312 2.79402 1.99466 -0.00000000012579892683
38500 32748.16784 5.63988 2.82739 1.99473 -0.00000000012951240080
38600 32844.39337 5.64994 2.83220 1.99490 -0.00000000010440892595
38700 32939.03210 5.66362 2.83911 1.99486 -0.00000000007284128856
38800 33020.79660 5.65809 2.83610 1.99503 -0.00000000009202238971
38900 33093.58445 5.64979 2.83210 1.99491 -0.00000000010799006134
39000 33186.00819 5.64623 2.82954 1.99546 -0.00000000006912070916
39100 33264.79014 5.65026 2.83179 1.99529 -0.00000000005030820205
